codigo_municipio,departamento,municipio,poblacion,hogares,pct_hogar_rural,pct_hogar_indigena,NBI
0903,Quetzaltenango,San Juan Olintepeque,41552,7892,9.05,75.02,31
0921,Quetzaltenango,Génova,48480,7996,86.39,27.68,52
1017,Suchitepéquez,Santo Tomas La Unión,13959,2640,60.91,79.99,28
1217,San Marcos,Ayutla,50791,8685,34.75,1.87,42
1413,Quiché,Santa María Nebaj,84225,14708,54.28,94.72,53
1420,Quiché,Playa Grande Ixcán,119712,18651,85.63,77.72,60
1611,Alta Verapaz,San Agustín Lanquín,28587,4382,85.49,98.95,86
0101,Guatemala,Guatemala,1242219,243014,0,7.64,16
0102,Guatemala,Santa Catarina Pinula,88628,20064,11.43,4.12,35
0103,Guatemala,San José Pinula,91938,19608,14.69,4.26,32
0104,Guatemala,San José del Golfo,8623,1913,67.69,2.16,26
0105,Guatemala,Palencia,75905,17411,53.56,2.09,34
0106,Guatemala,Chinautla,128085,28077,8.32,17.89,30
0107,Guatemala,San Pedro Ayampuc,71894,14121,18.24,25.41,44
0108,Guatemala,Mixco,558989,118506,0.53,9.87,18
0109,Guatemala,San Pedro Sacatepéquez,59786,11041,27.07,76.43,46
0110,Guatemala,San Juan Sacatepéquez,297376,45416,25.85,63.56,56
0111,Guatemala,San Raymundo,39387,7065,50.54,71.42,37
0112,Guatemala,Chuarrancho,17820,2626,43.68,86.37,44
0113,Guatemala,Fraijanes,66825,13615,18.73,5.05,30
0114,Guatemala,Amatitlán,159961,28919,15.75,3.96,30
0115,Guatemala,Villa Nueva,518596,109133,1.63,5.48,22
0116,Guatemala,Villa Canales,171094,37768,19.66,3.42,50
0117,Guatemala,San Miguel Petapa,158631,34546,4.39,6.12,15
0201,El Progreso,Guastatoya,28173,6619,0,2.7,30
0202,El Progreso,Morazán,12800,3229,76.4,1.39,25
0203,El Progreso,San Agustín Acasaguastlán,57319,10581,59.75,1.42,47
0204,El Progreso,San Cristóbal Acasaguastlán,8127,1890,66.24,1.13,24
0205,El Progreso,El Jícaro,13564,3456,46.41,0.65,38
0206,El Progreso,Sansare,13940,3233,63.1,1.44,37
0207,El Progreso,Sanarate,43229,9941,46.1,1.61,26
0208,El Progreso,San Antonio La Paz,23281,5264,44.43,2.23,38
0301,Sacatepéquez,Antigua Guatemala,62839,11131,0,11.47,24
0302,Sacatepéquez,Jocotenango,25088,5319,10.21,7.83,12
0303,Sacatepéquez,Pastores,20943,4331,29.9,7.74,39
0304,Sacatepéquez,Sumpango,50204,8192,21.36,90.62,33
0305,Sacatepéquez,Santo Domingo Xenacoj,16166,2778,13.5,87.78,26
0306,Sacatepéquez,Santiago Sacatepéquez,39763,6583,17.58,82.67,25
0307,Sacatepéquez,San Bartolomé Milpas Altas,9214,1839,0,30.04,19
